Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22,Attribute23
2009-12-27,2,17.6,27.3,0.0,,,ENE,24.0,S,NE,11.0,15.0,61.0,74.0,1016.3,1013.9,1.0,,22.1,22.7,No,No
2009-12-28,2,17.8,35.9,0.0,,,SE,33.0,SW,WSW,6.0,11.0,58.0,23.0,1015.2,1012.6,,,24.4,34.1,No,No
2010-01-02,2,18.6,29.1,12.4,,,W,56.0,S,W,6.0,28.0,88.0,48.0,1007.8,1006.2,5.0,,20.6,28.0,Yes,No
2010-01-18,2,10.5,22.6,0.0,,,SW,52.0,W,WSW,22.0,30.0,44.0,30.0,1007.7,1007.0,2.0,8.0,14.4,20.5,No,No
2010-02-14,2,20.5,30.3,0.0,,,SE,41.0,SSE,SE,7.0,20.0,80.0,43.0,1006.8,1003.9,8.0,8.0,21.7,28.9,No,No
2010-02-15,2,17.8,26.8,0.0,,,ESE,52.0,SSW,SE,7.0,28.0,76.0,44.0,1008.6,1008.8,8.0,,19.7,26.2,No,No
2010-02-22,2,20.2,26.4,3.6,,,E,46.0,ENE,NW,4.0,9.0,83.0,70.0,1014.6,1011.9,8.0,8.0,21.3,24.2,Yes,No
2010-03-16,2,12.5,28.6,0.0,,,ENE,46.0,,SSW,0.0,4.0,73.0,28.0,1023.8,1021.0,,,16.1,28.1,No,No
2010-03-17,2,13.3,29.6,0.0,,,SSW,19.0,N,W,2.0,4.0,76.0,35.0,1025.6,1023.3,,,17.6,29.5,No,No
2010-03-21,2,16.8,25.6,0.0,,,W,44.0,,WSW,0.0,24.0,78.0,46.0,1018.7,1017.7,2.0,,20.2,24.7,No,No
2010-03-22,2,9.1,25.3,0.0,,,WNW,30.0,SSE,WNW,6.0,13.0,69.0,36.0,1020.8,1018.8,,,13.0,24.1,No,No
2010-04-02,2,10.0,25.1,0.0,,,SE,20.0,,S,0.0,6.0,78.0,42.0,1019.8,1017.4,,,15.3,24.4,No,No
2010-04-10,2,14.1,18.6,0.2,,,WNW,22.0,NE,NE,6.0,11.0,84.0,79.0,1011.6,1009.0,8.0,8.0,16.7,18.3,No,Yes
2010-04-12,2,5.6,17.4,0.0,,,SW,41.0,W,SW,19.0,24.0,71.0,54.0,1018.1,1017.3,,8.0,11.0,16.0,No,No
2010-04-13,2,4.6,19.9,0.0,,,SW,19.0,SSW,W,4.0,11.0,82.0,49.0,1023.8,1021.1,,,10.1,19.5,No,No
2010-04-20,2,11.8,25.2,0.0,,,ENE,26.0,SSE,E,2.0,13.0,79.0,49.0,1024.6,1020.1,1.0,1.0,16.4,24.3,No,No
2010-05-04,2,8.0,25.3,0.2,,,WNW,61.0,WSW,N,7.0,26.0,92.0,29.0,1017.8,1011.2,8.0,4.0,11.9,24.8,No,Yes
2010-05-17,2,4.5,17.0,0.0,,,ESE,48.0,S,SSE,7.0,7.0,92.0,50.0,1021.1,1017.9,,,9.2,16.7,No,No
2010-05-28,2,6.4,17.0,0.0,,,ENE,22.0,,NE,0.0,13.0,96.0,63.0,1019.4,1014.3,8.0,6.0,9.4,17.0,No,Yes
2010-06-12,2,0.0,13.3,0.0,,,W,22.0,,S,0.0,4.0,95.0,51.0,1025.4,1024.3,5.0,,3.3,12.3,No,No
2010-07-12,2,3.5,15.3,0.2,,,SE,13.0,E,,9.0,0.0,99.0,62.0,1024.3,1021.0,8.0,,5.9,15.1,No,No
2010-07-26,2,1.9,14.9,0.2,,,WSW,19.0,,W,0.0,9.0,99.0,52.0,1035.9,1034.1,2.0,,3.7,14.6,No,No
2010-08-20,2,4.5,11.7,2.0,,,W,46.0,WNW,WNW,20.0,30.0,82.0,58.0,1015.7,1014.8,4.0,5.0,6.4,10.4,Yes,No
2010-09-02,2,10.0,16.8,0.8,,,SSE,33.0,,W,0.0,9.0,92.0,68.0,1016.5,1016.0,7.0,5.0,10.9,16.1,No,No
2010-09-03,2,7.1,17.6,0.0,,,SE,26.0,SSE,E,17.0,17.0,65.0,55.0,1022.1,1017.5,,,10.2,17.2,No,Yes
2010-09-11,2,2.6,15.9,3.2,,,WNW,35.0,S,WNW,7.0,13.0,88.0,54.0,1020.2,1019.2,,8.0,8.4,15.8,Yes,No
2010-09-15,2,5.5,13.6,0.0,,,WSW,43.0,W,WNW,20.0,24.0,68.0,58.0,1015.2,1015.6,,7.0,9.5,13.4,No,No
2010-09-19,2,2.4,16.4,0.0,,,W,30.0,E,W,2.0,17.0,90.0,55.0,1022.7,1020.8,8.0,2.0,9.0,16.2,No,No
2010-09-20,2,2.8,18.7,0.0,,,W,24.0,SSE,W,6.0,9.0,79.0,54.0,1026.1,1023.3,,,10.0,18.6,No,No
2010-09-29,2,3.7,14.3,0.0,,,W,39.0,W,W,19.0,26.0,66.0,43.0,1021.4,1020.5,,,9.4,13.9,No,No
2010-10-06,2,11.1,24.9,0.0,,,W,69.0,ESE,N,11.0,20.0,80.0,52.0,1019.8,1014.4,,,17.4,24.5,No,Yes
2010-10-20,2,5.7,21.8,0.0,,,SE,20.0,,SSE,0.0,11.0,80.0,51.0,1028.7,1025.0,,,11.9,19.9,No,No
2010-10-21,2,8.0,23.3,0.0,,,N,20.0,,SSW,0.0,11.0,75.0,47.0,1024.5,1020.8,,,13.5,22.9,No,No
2010-10-25,2,10.9,22.2,0.0,,,WNW,22.0,SSE,WNW,4.0,11.0,77.0,47.0,1022.4,1018.5,4.0,1.0,14.6,20.8,No,No
2010-11-01,2,10.2,18.9,1.2,,,W,35.0,W,W,6.0,19.0,79.0,52.0,1016.5,1013.8,7.0,1.0,12.5,17.5,Yes,No
2010-11-13,2,21.1,26.9,0.0,,,ENE,61.0,E,ENE,13.0,24.0,63.0,78.0,1012.1,1011.0,7.0,3.0,24.4,24.8,No,Yes
2010-11-20,2,12.0,27.3,0.0,,,NE,26.0,E,SSE,7.0,9.0,63.0,39.0,1026.0,1022.1,,,18.3,25.5,No,No
2010-11-24,2,18.1,30.1,0.0,,,N,35.0,NNE,NNE,20.0,11.0,46.0,31.0,1021.8,1018.8,,,24.0,29.5,No,No
2010-11-25,2,18.9,27.6,0.0,,,W,44.0,ENE,WSW,7.0,15.0,47.0,57.0,1018.2,1017.0,7.0,,23.9,25.7,No,Yes
2010-11-27,2,14.8,27.6,19.2,,,N,44.0,SE,N,9.0,6.0,77.0,66.0,1012.6,1008.5,,8.0,20.6,22.7,Yes,Yes
2010-12-01,2,16.7,23.9,12.0,,,SE,24.0,SE,SE,11.0,9.0,72.0,73.0,1014.1,1013.3,,8.0,19.6,20.6,Yes,No
2010-12-06,2,18.9,30.4,0.0,,,ENE,43.0,SE,NE,11.0,19.0,63.0,38.0,1012.7,1008.9,1.0,,23.3,29.3,No,No
2010-12-12,2,15.0,22.2,0.0,,,NW,46.0,W,WNW,24.0,24.0,54.0,33.0,1005.6,1006.3,2.0,,17.7,22.0,No,No
2010-12-15,2,16.1,31.1,0.0,,,NNE,35.0,ENE,NNW,15.0,11.0,57.0,28.0,1008.7,1003.6,,5.0,24.3,29.8,No,No
2010-12-18,2,14.0,20.8,1.0,,,WNW,76.0,NNW,W,19.0,35.0,64.0,52.0,1002.4,1002.8,,7.0,16.9,18.7,No,Yes
2010-12-29,2,13.5,31.0,0.0,,,NW,30.0,N,SW,19.0,13.0,57.0,28.0,1015.6,1012.8,,,21.9,29.6,No,No
2011-01-03,2,13.6,29.4,0.0,,,WNW,35.0,SSE,WNW,19.0,11.0,56.0,28.0,1011.8,1009.3,,,20.2,28.4,No,No
2011-01-22,2,19.8,34.6,0.0,,,NE,43.0,ESE,N,13.0,13.0,60.0,37.0,1013.6,1010.3,,,25.3,33.0,No,No
2011-01-24,2,19.8,30.6,0.0,,,WSW,35.0,,W,0.0,15.0,68.0,29.0,1002.5,1001.5,,,22.2,30.4,No,No
2011-02-05,2,20.4,23.0,99.2,,,NW,28.0,NE,NW,11.0,4.0,97.0,95.0,1008.6,1007.3,5.0,8.0,22.5,22.5,Yes,Yes
2011-02-17,2,18.9,29.2,5.8,,,ESE,30.0,,SSE,0.0,4.0,90.0,55.0,1012.9,1010.8,8.0,5.0,19.9,28.1,Yes,No
2011-02-20,2,16.7,25.7,12.8,,,WNW,43.0,WSW,WNW,13.0,26.0,80.0,50.0,1010.1,1009.7,8.0,5.0,19.4,25.2,Yes,No
2011-02-22,2,12.3,25.2,0.0,,,SW,69.0,SSE,SSW,15.0,9.0,53.0,43.0,1022.1,1020.5,,,15.0,23.2,No,No
2011-03-25,2,13.3,22.1,0.0,,,WNW,43.0,W,WSW,17.0,17.0,77.0,49.0,1011.8,1012.6,3.0,8.0,14.9,20.9,No,No
2011-03-27,2,9.8,23.0,0.0,,,S,19.0,,S,0.0,7.0,69.0,47.0,1025.3,1023.6,,1.0,13.9,22.4,No,No
2011-03-29,2,11.5,25.7,0.0,,,NE,26.0,,ENE,0.0,11.0,86.0,52.0,1024.0,1020.2,8.0,8.0,14.8,24.3,No,No
2011-05-14,2,3.8,14.3,1.8,,,W,35.0,W,WSW,20.0,19.0,82.0,46.0,1020.7,1021.8,,7.0,6.8,13.6,Yes,No
2011-06-08,2,1.5,10.2,2.6,,,WNW,37.0,WNW,W,13.0,22.0,89.0,63.0,1019.2,1017.3,8.0,8.0,3.0,9.7,Yes,No
2011-06-11,2,-1.4,13.9,0.0,,,SSE,26.0,,SSE,0.0,17.0,82.0,50.0,1028.7,1026.6,,,3.5,13.7,No,No
2011-06-16,2,1.0,16.1,0.0,,,ESE,46.0,,E,0.0,6.0,89.0,52.0,1023.6,1018.4,,,4.8,16.0,No,No
2011-06-17,2,3.0,12.6,1.0,,,WNW,35.0,NW,W,11.0,15.0,92.0,68.0,1010.6,1010.1,8.0,,7.5,11.5,No,No
2011-06-23,2,6.2,14.2,3.4,,,W,43.0,W,W,19.0,17.0,85.0,70.0,1020.2,1020.9,8.0,,11.0,13.3,Yes,No
2011-07-11,2,4.7,11.8,6.6,,,W,30.0,WNW,W,15.0,19.0,85.0,64.0,1022.2,1022.7,6.0,8.0,5.7,11.2,Yes,No
2011-07-12,2,5.7,10.5,0.0,,,NW,28.0,,NW,0.0,19.0,83.0,64.0,1025.4,1023.4,8.0,7.0,7.7,9.8,No,No
2011-07-14,2,-0.3,12.6,4.0,,,SW,15.0,S,ENE,6.0,2.0,99.0,65.0,1029.3,1029.7,8.0,,4.0,10.7,Yes,No
2011-07-15,2,-1.6,12.1,0.0,,,E,17.0,,E,0.0,7.0,95.0,46.0,1036.6,1033.3,,,2.6,12.0,No,No
2011-07-19,2,0.4,14.5,1.8,,,WSW,13.0,NW,,4.0,0.0,99.0,66.0,1020.4,1017.8,,,3.4,14.0,Yes,No
2011-07-21,2,3.5,17.2,0.0,,,SE,26.0,NW,S,4.0,11.0,75.0,46.0,1022.2,1020.0,,4.0,8.8,16.8,No,No
2011-07-30,2,0.6,16.1,0.2,,,SE,19.0,WNW,SSE,2.0,13.0,89.0,54.0,1024.6,1020.0,,,4.9,15.8,No,No
2011-08-08,2,7.1,12.3,8.2,,,WSW,24.0,S,W,6.0,13.0,95.0,76.0,1011.9,1009.5,7.0,,7.6,9.7,Yes,Yes
2011-09-05,2,4.8,21.4,3.2,,,N,31.0,,NNE,0.0,22.0,86.0,52.0,1024.5,1020.2,4.0,,10.8,20.7,Yes,Yes
2011-09-15,2,1.7,17.2,0.0,,,W,31.0,E,NW,4.0,15.0,72.0,33.0,1023.3,1020.4,,,9.7,16.9,No,No
2011-09-29,2,10.7,12.3,28.4,,,NW,59.0,WNW,WNW,30.0,20.0,84.0,89.0,996.3,996.2,3.0,8.0,11.2,10.0,Yes,Yes
2011-10-04,2,4.1,19.3,0.0,,,SSW,24.0,ESE,S,6.0,4.0,74.0,47.0,1024.9,1021.9,,1.0,10.5,19.1,No,No
2011-10-11,2,5.9,16.7,,,,WNW,39.0,WNW,WSW,13.0,22.0,83.0,47.0,1013.9,1012.7,7.0,,9.9,15.0,,No
2011-10-23,2,11.7,30.9,0.0,,,NE,24.0,SSE,WNW,2.0,11.0,66.0,27.0,1020.7,1015.4,1.0,,18.3,30.3,No,No
2011-11-06,2,13.8,32.9,0.0,,,NW,50.0,ESE,NNW,7.0,15.0,63.0,44.0,1011.2,1006.4,,7.0,21.7,27.1,No,Yes
2011-11-21,2,8.1,23.5,0.0,,,W,33.0,ENE,WSW,4.0,19.0,54.0,36.0,1018.1,1014.3,,,17.0,22.6,No,Yes
2011-11-28,2,12.0,31.5,0.0,,,NNE,35.0,E,NW,11.0,11.0,72.0,29.0,1016.0,1013.3,,,20.9,29.6,No,No
2011-12-03,2,10.2,27.1,0.0,,,W,24.0,NNE,WNW,9.0,7.0,53.0,34.0,1019.2,1014.8,,3.0,18.0,25.3,No,No
2011-12-06,2,8.5,25.0,0.0,,,NW,43.0,E,S,11.0,9.0,54.0,36.0,1018.9,1014.4,,,16.4,22.6,No,No
2011-12-08,2,15.0,29.0,0.0,,,SSE,46.0,ESE,NE,9.0,6.0,62.0,37.0,1012.6,1009.5,,,20.8,27.7,No,No
2011-12-22,2,16.4,29.6,0.6,,,ESE,30.0,SE,SE,13.0,9.0,63.0,42.0,1015.9,1012.3,,,20.9,28.0,No,No
2012-01-17,2,18.9,33.4,0.0,,,NNW,30.0,NE,ENE,17.0,11.0,41.0,30.0,1020.8,1016.6,,,24.3,31.6,No,No
2012-01-20,2,20.1,36.2,0.0,,,WSW,35.0,ESE,W,9.0,19.0,58.0,23.0,1014.2,1010.2,,,25.3,34.4,No,No
2012-02-04,2,15.5,32.5,0.0,,,WNW,28.0,SSE,SW,6.0,15.0,63.0,32.0,1005.3,1002.0,,1.0,21.2,30.7,No,No
2012-02-10,2,13.8,27.4,3.6,,,W,43.0,ESE,WNW,9.0,30.0,78.0,43.0,1010.8,1008.1,,8.0,18.7,22.9,Yes,No
2012-02-13,2,13.5,29.7,0.0,,,SE,24.0,SE,S,11.0,11.0,61.0,30.0,1016.8,1014.5,,,19.6,28.1,No,No
2012-02-16,2,16.9,28.3,0.4,,,SE,30.0,ENE,SSE,7.0,13.0,83.0,63.0,1018.0,1017.2,8.0,8.0,18.4,23.6,No,No
2012-03-10,2,10.8,25.9,0.0,,,W,28.0,,WNW,0.0,13.0,77.0,39.0,1014.3,1013.9,,,15.5,24.8,No,No
2012-03-30,2,11.0,26.5,0.0,,,E,22.0,E,NNE,6.0,9.0,81.0,44.0,1019.2,1016.0,,1.0,15.1,25.5,No,No
2012-04-08,2,5.4,19.1,0.0,,,WSW,35.0,,W,0.0,22.0,83.0,45.0,1019.7,1016.0,,2.0,12.0,18.2,No,No
2012-04-26,2,5.0,17.0,0.0,,,NW,19.0,WSW,NW,6.0,11.0,95.0,63.0,1021.9,1019.4,8.0,,9.5,16.7,No,No
2012-05-04,2,3.5,15.7,0.0,,,W,28.0,SSE,W,2.0,19.0,87.0,56.0,1023.3,1020.4,,1.0,8.6,14.9,No,No
2012-05-21,2,0.9,15.0,0.0,,,W,13.0,,,0.0,0.0,100.0,59.0,1026.2,1022.9,8.0,5.0,5.0,13.3,No,No
2012-05-26,2,6.7,13.2,6.0,,,WNW,35.0,WNW,WNW,13.0,13.0,95.0,79.0,1016.1,1015.3,7.0,8.0,7.9,12.2,Yes,No
2012-06-06,2,-1.0,15.1,0.0,,,WNW,20.0,,WSW,0.0,11.0,85.0,50.0,1020.9,1020.8,,,6.0,14.6,No,No
2012-06-19,2,5.6,14.2,2.8,,,W,28.0,NW,W,17.0,15.0,87.0,53.0,1022.2,1021.0,1.0,,10.8,13.7,Yes,No
2012-06-26,2,2.4,14.3,1.0,,,SE,22.0,,SE,0.0,7.0,100.0,67.0,1031.2,1028.6,,8.0,6.8,12.8,No,No
2012-07-13,2,7.1,15.8,15.4,,,NW,24.0,NNE,WNW,6.0,13.0,100.0,81.0,1009.3,1008.5,7.0,8.0,12.5,14.3,Yes,Yes
2012-07-19,2,-0.8,12.7,0.6,,,W,24.0,,W,0.0,17.0,100.0,58.0,1024.5,1023.2,8.0,3.0,2.3,11.1,No,No
2012-07-20,2,2.3,15.3,0.0,,,W,31.0,,WSW,0.0,17.0,86.0,67.0,1028.7,1027.3,3.0,8.0,9.2,13.7,No,No
2012-07-22,2,0.0,15.7,0.2,,,WSW,19.0,,WNW,0.0,11.0,92.0,54.0,1033.2,1030.0,,,5.6,15.1,No,No
2012-07-23,2,-0.1,16.1,0.0,,,W,13.0,,WNW,0.0,4.0,100.0,49.0,1032.3,1028.3,1.0,1.0,5.6,15.5,No,No
2012-08-15,2,2.1,13.0,1.2,,,WNW,26.0,ESE,W,6.0,11.0,100.0,67.0,1017.8,1015.0,8.0,2.0,6.2,12.6,Yes,No
2012-08-22,2,6.2,19.4,0.0,,,ENE,35.0,E,ENE,9.0,19.0,74.0,50.0,1012.6,1005.7,5.0,,11.3,18.5,No,No
2012-08-25,2,6.1,10.7,2.0,,,WNW,28.0,NW,NW,6.0,13.0,86.0,63.0,1020.6,1019.6,8.0,8.0,7.0,10.6,Yes,No
2012-08-28,2,1.2,15.3,0.0,,,SE,20.0,SSE,ENE,2.0,11.0,87.0,55.0,1024.9,1019.9,,,7.6,14.8,No,No
2012-09-04,2,4.3,21.2,0.0,,,N,22.0,ENE,N,6.0,13.0,76.0,36.0,1023.5,1019.1,,,11.9,20.7,No,No
2012-09-05,2,2.7,22.1,0.0,,,N,83.0,N,NE,22.0,19.0,39.0,43.0,1011.0,1000.8,,7.0,16.8,18.9,No,No
2012-09-30,2,2.6,15.3,0.2,,,W,35.0,WNW,W,15.0,19.0,75.0,49.0,1021.8,1021.7,,8.0,9.1,13.7,No,No
2012-10-10,2,5.6,16.2,0.0,,,NW,30.0,WNW,NW,9.0,15.0,69.0,47.0,1011.6,1009.7,,6.0,11.9,15.5,No,No
2012-10-17,2,5.2,19.0,2.2,,,WNW,33.0,W,WNW,13.0,22.0,69.0,45.0,1020.0,1018.7,,,10.4,17.9,Yes,No
2012-10-18,2,5.5,22.6,0.0,,,WNW,26.0,E,N,4.0,7.0,79.0,43.0,1020.5,1018.0,,,12.8,21.8,No,No
2012-10-27,2,6.3,20.4,0.0,,,WSW,46.0,W,NNW,15.0,15.0,64.0,38.0,1018.2,1017.8,,,11.5,18.4,No,No
2012-10-29,2,9.0,27.0,0.0,,,ENE,28.0,SSE,SSE,7.0,7.0,72.0,31.0,1022.1,1017.9,,2.0,16.4,25.8,No,No
2012-11-02,2,6.4,22.4,0.0,,,WSW,28.0,SSE,ESE,9.0,7.0,64.0,43.0,1016.6,1014.5,,,11.8,21.1,No,No
2012-11-03,2,9.2,24.5,0.0,,,NNE,31.0,SE,NNW,9.0,19.0,65.0,37.0,1018.2,1015.7,,7.0,15.4,23.5,No,No
2012-11-12,2,9.3,31.6,0.0,,,WNW,44.0,SE,N,7.0,19.0,68.0,31.0,1021.7,1015.5,,,18.2,29.4,No,No
2013-01-18,2,18.9,43.1,0.0,,,W,65.0,ESE,W,7.0,30.0,38.0,12.0,999.9,998.5,,,27.0,40.6,No,No
2013-01-24,2,15.9,37.0,0.0,,,NNW,46.0,ESE,NE,9.0,15.0,56.0,23.0,1015.2,1010.4,,,24.1,35.0,No,No
2013-01-25,2,21.2,35.2,0.0,,,NNE,43.0,NE,ENE,19.0,7.0,47.0,31.0,1009.7,1007.0,,,27.2,34.0,No,No
2013-03-02,2,14.3,29.2,0.0,,,ESE,41.0,SE,SSE,17.0,24.0,46.0,28.0,1021.8,1019.0,,,18.9,27.4,No,No
2013-03-08,2,17.9,34.9,0.0,,,ESE,37.0,E,ENE,7.0,13.0,65.0,24.0,1020.0,1016.1,,,23.7,33.9,No,No
2013-03-13,2,17.7,33.9,0.0,,,W,35.0,NNE,NW,22.0,17.0,47.0,28.0,1012.3,1007.3,,7.0,24.3,32.5,No,No
2013-03-27,2,13.8,35.1,0.0,,,WNW,61.0,SSE,NNE,2.0,22.0,69.0,27.0,1015.7,1011.0,,1.0,18.4,34.1,No,Yes
2013-04-10,2,10.3,27.1,0.0,,,WNW,24.0,E,SSW,6.0,6.0,72.0,38.0,1024.8,1020.6,,1.0,16.8,26.0,No,No
2013-04-15,2,14.5,23.6,0.8,,,W,30.0,ESE,W,2.0,19.0,77.0,47.0,1010.6,1009.0,,,18.9,22.8,No,No
2013-05-05,2,1.6,17.9,0.0,,,SSE,17.0,SSE,E,7.0,9.0,66.0,35.0,1025.8,1022.6,,,9.3,16.3,No,No
2013-05-06,2,2.5,18.6,0.0,,,SE,22.0,E,SE,4.0,13.0,66.0,37.0,1027.2,1023.2,,,9.3,17.9,No,No
2013-05-12,2,5.0,24.2,0.0,,,NNE,46.0,,NNE,0.0,15.0,82.0,38.0,1025.0,1019.2,,4.0,11.4,22.7,No,Yes
2013-05-20,2,2.9,14.6,1.4,,,E,20.0,ENE,E,2.0,15.0,99.0,72.0,1020.3,1016.0,8.0,8.0,8.5,14.3,Yes,No
2013-05-23,2,5.4,17.2,0.0,,,SE,33.0,SSE,SSE,17.0,20.0,59.0,45.0,1016.9,1017.6,,,13.5,16.9,No,No
